customer_id,clv,value_decile,churn_probability,decision,net_value,value_at_risk,expected_value_saved,intervention_cost,churn_value,data_split,predicted_churn,outcome_class,churn_reason,contract,tenure_band,spend_band,city,latitude,longitude
0278-YXOOG,75.78,10,0.3928,Do not intervene,-51.07,29.76,8.93,60.00,1,train,0,Missed,Network reliability,Month-to-month,New,Low,Inglewood,33.956445,-118.358634
4598-XLKNJ,354.6,4,0.7518,Intervene,19.98,266.59,79.98,60.00,1,train,1,Caught,Limited range of services,Month-to-month,Established,High,Inglewood,33.936291,-118.332639
3192-NQECA,1188.0,1,0.123,Do not intervene,-16.17,146.1,43.83,60.00,1,test,0,Missed,Lack of affordable download/upload speed,Two year,Loyal,High,Santa Monica,34.031529,-118.491156
0486-HECZI,348.3,4,0.6256,Intervene,5.37,217.9,65.37,60.00,1,train,1,Caught,Long distance charges,Month-to-month,Loyal,High,Torrance,33.867257,-118.330794
4846-WHAFZ,275.4,6,0.7274,Intervene,0.1,200.34,60.1,60.00,1,train,1,Caught,Extra data charges,Month-to-month,Loyal,High,Whittier,33.972119,-118.020188
5299-RULOA,360.9,4,0.8919,Intervene,36.56,321.88,96.56,60.00,1,train,1,Caught,Price too high,Month-to-month,New,High,Whittier,33.976678,-118.065875
0404-SWRVG,267.84,6,0.8662,Intervene,9.6,232.01,69.6,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,High,La Habra,33.940619,-117.9513
4412-YLTKF,280.98,6,0.7228,Intervene,0.93,203.09,60.93,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,Established,High,Pico Rivera,33.989524,-118.089299
6207-WIOLX,210.96,8,0.5398,Do not intervene,-25.84,113.88,34.16,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,Established,Medium,Avalon,33.391181,-118.421305
3091-FYHKI,127.62,9,0.8034,Do not intervene,-29.24,102.53,30.76,60.00,1,train,1,Caught,Network reliability,Month-to-month,New,Medium,Harbor City,33.798266,-118.300237
2372-HWUHI,159.66,9,0.6046,Do not intervene,-31.04,96.53,28.96,60.00,1,train,1,Caught,Don't know,Month-to-month,New,Medium,Lakewood,33.840524,-118.148403
0390-DCFDQ,253.62,7,0.8405,Intervene,3.95,213.16,63.95,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,Los Alamitos,33.79499,-118.065591
4080-OGPJL,256.14,7,0.6816,Do not intervene,-7.62,174.59,52.38,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,San Pedro,33.736387,-118.284363
2135-RXIHG,164.34,9,0.6324,Do not intervene,-28.82,103.93,31.18,60.00,1,train,1,Caught,Poor expertise of online support,Month-to-month,New,Medium,Carson,33.822295,-118.26411
3874-EQOEP,342.0,4,0.9069,Intervene,33.05,310.17,93.05,60.00,1,train,1,Caught,Poor expertise of phone support,Month-to-month,New,High,Long Beach,33.783047,-118.1486
0867-MKZVY,296.64,5,0.8121,Intervene,12.27,240.9,72.27,60.00,1,train,1,Caught,Price too high,Month-to-month,Established,High,Altadena,34.196837,-118.142236
3376-BMGFE,255.24,7,0.7751,Do not intervene,-0.65,197.85,59.35,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,High,Monrovia,34.1528,-118.000482
3445-HXXGF,163.08,9,0.3749,Do not intervene,-41.66,61.13,18.34,60.00,1,train,0,Missed,Service dissatisfaction,Month-to-month,Loyal,Medium,Sierra Madre,34.168686,-118.057505
1875-QIVME,375.84,4,0.9004,Intervene,41.52,338.41,101.52,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,New,High,Tujunga,34.296574,-118.244839
0691-JVSYA,682.92,2,0.311,Intervene,3.71,212.37,63.71,60.00,1,test,0,Missed,Network reliability,One year,Loyal,High,Pasadena,34.167465,-118.165327
2656-FMOKZ,268.02,6,0.8188,Intervene,5.84,219.46,65.84,60.00,1,test,1,Caught,Limited range of services,Month-to-month,Established,High,Pasadena,34.139402,-118.128658
2070-FNEXE,275.22,6,0.7486,Intervene,1.81,206.03,61.81,60.00,1,train,1,Caught,Lack of affordable download/upload speed,Month-to-month,New,High,Pasadena,34.159007,-118.087353
6317-YPKDH,107.82,10,0.6621,Do not intervene,-38.58,71.39,21.42,60.00,1,train,1,Caught,Long distance charges,Month-to-month,New,Low,Glendale,34.167926,-118.267539
9367-WXLCH,304.2,5,0.8326,Intervene,15.99,253.28,75.99,60.00,1,test,1,Caught,Extra data charges,Month-to-month,New,High,Glendale,34.136306,-118.26036
1918-ZBFQJ,285.3,6,0.7374,Intervene,3.11,210.37,63.11,60.00,1,test,1,Caught,Price too high,Month-to-month,Established,High,Glendale,34.162515,-118.203869
1024-GUALD,89.28,10,0.7538,Do not intervene,-39.81,67.3,20.19,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,Low,Glendale,34.182378,-118.262922
2472-OVKUP,327.6,5,0.833,Intervene,21.86,272.88,81.86,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,New,High,Canoga Park,34.224377,-118.632656
1285-OKIPP,287.64,6,0.8664,Intervene,14.76,249.21,74.76,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,New,High,Mission Hills,34.266389,-118.459744
7825-ECJRF,383.76,3,0.8032,Intervene,32.47,308.22,92.47,60.00,1,train,1,Caught,Network reliability,Month-to-month,Established,High,Santa Clarita,34.502432,-118.41459
7841-TZDMQ,165.6,9,0.5429,Do not intervene,-33.03,89.91,26.97,60.00,1,test,1,Caught,Don't know,Month-to-month,New,Medium,Sun Valley,34.231053,-118.338307
9408-SSNVZ,252.54,7,0.825,Intervene,2.51,208.35,62.51,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,Stevenson Ranch,34.364153,-118.615583
0742-MOABM,180.18,8,0.579,Do not intervene,-28.7,104.32,31.3,60.00,1,train,1,Caught,Don't know,Month-to-month,New,Medium,Panorama City,34.223768,-118.445461
2232-DMLXU,198.72,8,0.6807,Do not intervene,-19.42,135.26,40.58,60.00,1,train,1,Caught,Poor expertise of online support,Month-to-month,New,Medium,Van Nuys,34.17847,-118.459472
8937-RDTHP,304.56,5,0.8527,Intervene,17.91,259.71,77.91,60.00,1,test,1,Caught,Poor expertise of phone support,Month-to-month,New,High,Burbank,34.213049,-118.317651
1251-KRREG,195.84,8,0.6621,Do not intervene,-21.1,129.66,38.9,60.00,1,train,1,Caught,Price too high,Month-to-month,New,Medium,North Hollywood,34.1692,-118.372498
0094-OIFMO,342.0,4,0.8489,Intervene,27.09,290.31,87.09,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,High,North Hollywood,34.207295,-118.400022
9947-OTFQU,267.84,6,0.7455,Do not intervene,-0.1,199.68,59.9,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,Established,High,Covina,34.097345,-117.906736
0322-YINQP,174.78,9,0.5764,Do not intervene,-29.78,100.74,30.22,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,New,Medium,Covina,34.084747,-117.886844
4629-NRXKX,253.44,7,0.8359,Intervene,3.56,211.86,63.56,60.00,1,train,1,Caught,Network reliability,Month-to-month,New,High,El Monte,34.079934,-118.046695
9514-JDSKI,144.72,9,0.7855,Do not intervene,-25.9,113.68,34.1,60.00,1,train,1,Caught,Limited range of services,Month-to-month,New,Medium,El Monte,34.074492,-118.01462
4959-JOSRX,160.56,9,0.5194,Do not intervene,-34.98,83.4,25.02,60.00,1,test,1,Caught,Lack of affordable download/upload speed,Month-to-month,New,Medium,La Puente,34.031441,-117.936436
7273-TEFQD,148.14,9,0.7861,Do not intervene,-25.06,116.45,34.94,60.00,1,train,1,Caught,Long distance charges,Month-to-month,New,Medium,La Puente,34.038983,-117.991372
3606-TWKGI,384.84,3,0.8847,Intervene,42.14,340.48,102.14,60.00,1,train,1,Caught,Extra data charges,Month-to-month,Established,High,Rowland Heights,33.976753,-117.897367
6323-AYBRX,208.98,8,0.0191,Do not intervene,-58.8,3.99,1.2,60.00,1,train,0,Missed,Price too high,Two year,Loyal,Low,Ontario,34.057256,-117.667677
4385-GZQXV,340.02,4,0.8231,Intervene,23.96,279.86,83.96,60.00,1,test,1,Caught,Product dissatisfaction,Month-to-month,Established,High,Ontario,34.074087,-117.605618
6366-ZGQGL,89.28,10,0.6803,Do not intervene,-41.78,60.74,18.22,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,New,Low,Pomona,34.042286,-117.756106
5940-AHUHD,254.16,7,0.8418,Intervene,4.19,213.96,64.19,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,New,High,Pomona,34.067932,-117.785168
6432-TWQLB,307.44,5,0.8441,Intervene,17.86,259.52,77.86,60.00,1,train,1,Caught,Network reliability,Month-to-month,New,High,Rosemead,34.065108,-118.082791
4484-GLZOU,378.18,4,0.6757,Intervene,16.66,255.53,76.66,60.00,1,test,1,Caught,Don't know,Month-to-month,Loyal,High,San Dimas,34.102119,-117.815532
9512-UIBFX,342.54,4,0.8211,Intervene,24.38,281.27,84.38,60.00,1,test,1,Caught,Don't know,Month-to-month,Established,High,West Covina,34.061634,-117.893169
5583-SXDAG,252.0,7,0.8364,Intervene,3.23,210.76,63.23,60.00,1,test,1,Caught,Don't know,Month-to-month,New,High,Alhambra,34.074736,-118.145959
3488-PGMQJ,268.2,6,0.7847,Intervene,3.14,210.45,63.14,60.00,1,train,1,Caught,Poor expertise of online support,Month-to-month,New,High,Alpine,32.827184,-116.703729
3580-REOAC,161.46,9,0.4632,Do not intervene,-37.56,74.79,22.44,60.00,1,train,0,Missed,Poor expertise of phone support,Month-to-month,New,Medium,Bonita,32.67117,-117.00232
7534-BFESC,273.96,6,0.7938,Intervene,5.24,217.46,65.24,60.00,1,train,1,Caught,Price too high,Month-to-month,Established,High,Boulevard,32.677097,-116.304991
6390-DSAZX,264.96,6,0.8091,Intervene,4.31,214.38,64.31,60.00,1,test,1,Caught,Product dissatisfaction,Month-to-month,New,High,Guatay,32.857946,-116.561917
8098-LLAZX,343.62,4,0.9167,Intervene,34.5,314.98,94.5,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,New,High,Jacumba,32.649787,-116.2237
0265-EDXBD,269.64,6,0.7359,Do not intervene,-0.47,198.43,59.53,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,Established,High,Mount Laguna,32.830852,-116.444601
7563-BIUPC,290.16,5,0.8576,Intervene,14.65,248.85,74.65,60.00,1,train,1,Caught,Network reliability,Month-to-month,New,High,Borrego Springs,33.200369,-116.192313
2321-OMBXY,578.16,3,0.1638,Do not intervene,-31.58,94.72,28.42,60.00,1,test,0,Missed,Limited range of services,One year,Loyal,High,Carlsbad,33.098018,-117.258203
2840-XANRC,335.34,4,0.7699,Intervene,17.45,258.18,77.45,60.00,1,train,1,Caught,Lack of affordable download/upload speed,Month-to-month,Established,High,Del Mar,32.948262,-117.256086
5020-ZSTTY,593.64,3,0.1225,Do not intervene,-38.18,72.74,21.82,60.00,1,test,0,Missed,Long distance charges,One year,Loyal,High,El Cajon,32.79697,-116.969082
5804-LEPIM,253.26,7,0.8355,Intervene,3.48,211.59,63.48,60.00,1,test,1,Caught,Extra data charges,Month-to-month,New,High,Escondido,33.079834,-117.134275
0122-OAHPZ,265.86,6,0.8468,Intervene,7.54,225.13,67.54,60.00,1,train,1,Caught,Price too high,Month-to-month,New,High,Oceanside,33.254497,-117.285879
2868-SNELZ,290.16,5,0.8683,Intervene,15.59,251.96,75.59,60.00,1,test,1,Caught,Product dissatisfaction,Month-to-month,New,High,Pala,33.384345,-117.072619
4322-RCYMT,545.76,3,0.0824,Do not intervene,-46.51,44.96,13.49,60.00,1,train,0,Missed,Service dissatisfaction,One year,Loyal,High,Palomar Mountain,33.309852,-116.823091
6680-NENYN,1129.68,1,0.3145,Intervene,46.59,355.31,106.59,60.00,1,train,0,Missed,Lack of self-service on Website,Two year,Loyal,High,Pauma Valley,33.313828,-116.940501
1343-EHPYB,372.24,4,0.572,Intervene,3.88,212.93,63.88,60.00,1,train,1,Caught,Network reliability,Month-to-month,Loyal,High,Ranchita,33.215251,-116.53633
2034-GDRCN,325.44,5,0.8926,Intervene,27.15,290.49,87.15,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,Valley Center,33.25283,-116.986079
0219-YTZUE,305.28,5,0.7884,Intervene,12.2,240.68,72.2,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,San Diego,32.747484,-117.166877
0623-IIHUG,150.84,9,0.6917,Do not intervene,-28.7,104.33,31.3,60.00,1,train,1,Caught,Don't know,Month-to-month,Established,Medium,San Diego,32.741499,-117.127409
4572-DVCGN,288.9,6,0.7785,Intervene,7.47,224.91,67.47,60.00,1,test,1,Caught,Poor expertise of online support,Month-to-month,New,High,San Diego,32.741859,-117.090353
9057-MSWCO,110.7,10,0.4851,Do not intervene,-43.89,53.7,16.11,60.00,1,test,0,Missed,Poor expertise of phone support,Month-to-month,Established,Low,San Diego,32.774046,-117.142454
1010-DIAUQ,347.4,4,0.8381,Intervene,27.35,291.17,87.35,60.00,1,train,1,Caught,Price too high,Month-to-month,New,High,San Diego,32.765299,-117.122565
0259-GBZSH,308.34,5,0.9027,Intervene,23.5,278.33,83.5,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,High,San Diego,32.85723,-117.209774
9601-BRXPO,377.82,4,0.7649,Intervene,26.7,289.0,86.7,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,Established,High,San Diego,32.961064,-117.134917
6905-NIQIN,182.34,8,0.6106,Do not intervene,-26.6,111.33,33.4,60.00,1,train,1,Caught,Don't know,Month-to-month,New,Medium,San Diego,32.578103,-117.012975
5167-ZFFMM,327.06,5,0.8599,Intervene,24.37,281.23,84.37,60.00,1,test,1,Caught,Network reliability,Month-to-month,New,High,Indio,33.713891,-116.237257
4895-TMWIR,71.82,10,0.3337,Do not intervene,-52.81,23.97,7.19,60.00,1,train,0,Missed,Limited range of services,Month-to-month,New,Low,Indian Wells,33.537646,-116.291089
0533-BNWKF,307.62,5,0.5451,Do not intervene,-9.69,167.69,50.31,60.00,1,train,1,Caught,Lack of affordable download/upload speed,Month-to-month,Loyal,High,Palm Desert,33.762759,-116.324817
6599-CEBNN,266.22,6,0.5265,Do not intervene,-17.95,140.17,42.05,60.00,1,train,1,Caught,Long distance charges,Month-to-month,Established,High,Desert Hot Springs,33.948558,-116.516976
0979-PHULV,358.02,4,0.4772,Do not intervene,-8.75,170.83,51.25,60.00,1,train,0,Missed,Extra data charges,Month-to-month,Loyal,High,Holtville,32.811001,-115.152865
4800-VHZKI,71.64,10,0.4031,Do not intervene,-51.34,28.88,8.66,60.00,1,train,0,Missed,Price too high,Month-to-month,New,Low,Niland,33.345825,-115.596574
7989-CHGTL,70.56,10,0.3983,Do not intervene,-51.57,28.1,8.43,60.00,1,test,0,Missed,Product dissatisfaction,Month-to-month,New,Low,North Palm Springs,33.906496,-116.569499
0334-GDDSO,292.86,5,0.8706,Intervene,16.49,254.98,76.49,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,New,High,Ocotillo,32.698964,-115.886656
0578-SKVMF,299.88,5,0.7376,Intervene,6.36,221.2,66.36,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,Established,High,Seeley,32.790282,-115.689559
5564-NEMQO,271.08,6,0.7676,Intervene,2.43,208.09,62.43,60.00,1,train,1,Caught,Network reliability,Month-to-month,New,High,Thermal,33.53604,-116.119222
9063-ZGTUY,69.84,10,0.0962,Do not intervene,-57.98,6.72,2.02,60.00,1,train,0,Missed,Don't know,Month-to-month,Loyal,Low,Adelanto,34.667815,-117.536183
2957-LOLHO,163.44,9,0.4574,Do not intervene,-37.57,74.76,22.43,60.00,1,train,0,Missed,Don't know,Month-to-month,New,Medium,Apple Valley,34.55082,-117.122396
7752-XUSCI,381.24,3,0.634,Intervene,12.52,241.72,72.52,60.00,1,test,1,Caught,Don't know,Month-to-month,Loyal,High,Crestline,34.248061,-117.29028
4110-PFEUZ,250.38,7,0.8322,Intervene,2.51,208.36,62.51,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,Medium,Daggett,34.875144,-116.821698
0256-LTHVJ,291.78,5,0.756,Intervene,6.17,220.57,66.17,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,Established,High,Ludlow,34.702766,-116.093376
0880-TKATG,364.14,4,0.9131,Intervene,39.75,332.5,99.75,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,High,Lucerne Valley,34.508417,-116.856103
3811-VBYBZ,359.28,4,0.8976,Intervene,36.74,322.48,96.74,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,High,Lytle Creek,34.238162,-117.534306
4640-UHDOS,201.42,8,0.6094,Do not intervene,-23.18,122.74,36.82,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,Established,Medium,Phelan,34.441123,-117.537886
3583-EKAPL,198.0,8,0.6777,Do not intervene,-19.74,134.19,40.26,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,Medium,Redlands,34.003243,-117.138286
9399-APLBT,268.92,6,0.8203,Intervene,6.18,220.59,66.18,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,High,Rialto,34.156758,-117.404686
2359-KMGLI,288.9,6,0.7681,Intervene,6.57,221.9,66.57,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,Established,High,Running Springs,34.186211,-117.07683
0306-JAELE,345.96,4,0.8788,Intervene,31.21,304.03,91.21,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,High,Tecopa,35.824572,-116.274755
6227-HWPWX,248.4,7,0.685,Do not intervene,-8.95,170.15,51.05,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,Established,Medium,Victorville,34.486835,-117.362274
0447-BEMNG,163.08,9,0.3606,Do not intervene,-42.36,58.8,17.64,60.00,1,test,0,Missed,Price too high,Month-to-month,Loyal,Medium,Wrightwood,34.358321,-117.618263
5949-XIKAE,300.78,5,0.8136,Intervene,13.42,244.72,73.42,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,High,San Bernardino,34.105935,-117.2914
8372-JUXUI,267.66,6,0.8727,Intervene,10.08,233.59,70.08,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,New,High,San Bernardino,34.106922,-117.297553
0388-EOPEX,267.84,6,0.8127,Intervene,5.3,217.68,65.3,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,New,High,Riverside,33.890046,-117.455583
8205-OTCHB,315.0,5,0.3167,Do not intervene,-30.07,99.77,29.93,60.00,1,train,0,Missed,Network reliability,One year,Established,Medium,Riverside,33.930931,-117.361788
6235-VDHOM,102.42,10,0.693,Do not intervene,-38.71,70.98,21.29,60.00,1,train,1,Caught,Limited range of services,Month-to-month,New,Low,Riverside,34.004379,-117.447864
7783-YKGDV,358.92,4,0.7718,Intervene,23.1,277.02,83.1,60.00,1,train,1,Caught,Lack of affordable download/upload speed,Month-to-month,New,High,March Air Reserve Base,33.888323,-117.277533
5609-CEBID,338.76,4,0.801,Intervene,21.41,271.36,81.41,60.00,1,train,1,Caught,Long distance charges,Month-to-month,Established,High,Hemet,33.644585,-116.871544
7218-HKQFK,339.12,4,0.8748,Intervene,28.99,296.65,88.99,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,Homeland,33.761894,-117.120868
4636-QRJKY,289.8,5,0.853,Intervene,14.16,247.21,74.16,60.00,1,train,1,Caught,Price too high,Month-to-month,New,High,Idyllwild,33.755039,-116.741796
5956-VKDTT,267.66,6,0.8586,Intervene,8.95,229.82,68.95,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,High,Moreno Valley,33.970661,-117.255039
9412-GHEEC,377.28,4,0.6718,Intervene,16.03,253.44,76.03,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,Loyal,High,Murrieta,33.581045,-117.14719
0257-ZESQC,270.72,6,0.5992,Do not intervene,-11.33,162.22,48.67,60.00,1,train,1,Caught,Lack of self-service on Website,Month-to-month,Established,High,Perris,33.828289,-117.201666
6825-UYPFK,272.16,6,0.7272,Do not intervene,-0.63,197.91,59.37,60.00,1,test,1,Caught,Network reliability,Month-to-month,Established,High,Sun City,33.707483,-117.200006
8397-MVTAZ,360.18,4,0.7976,Intervene,26.18,287.26,86.18,60.00,1,train,1,Caught,Don't know,Month-to-month,Established,High,Sun City,33.69887,-117.25071
9282-IZGQK,306.0,5,0.9015,Intervene,22.75,275.85,82.75,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,Irvine,33.643095,-117.810896
1342-JPNKI,309.78,5,0.8387,Intervene,17.94,259.81,77.94,60.00,1,train,1,Caught,Don't know,Month-to-month,New,High,Lake Forest,33.644849,-117.684254
2817-NTQDO,163.98,9,0.623,Do not intervene,-29.35,102.16,30.65,60.00,1,train,1,Caught,Poor expertise of online support,Month-to-month,Established,Medium,Huntington Beach,33.666301,-117.969501
6986-IJDHX,310.68,5,0.6731,Intervene,2.73,209.11,62.73,60.00,1,train,1,Caught,Poor expertise of phone support,Month-to-month,Loyal,High,Huntington Beach,33.679659,-118.016195
5301-GAUUY,289.26,6,0.6453,Do not intervene,-4.0,186.67,56.0,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,Established,High,Newport Beach,33.601309,-117.902304
0939-YAPAF,360.9,4,0.7948,Intervene,26.06,286.86,86.06,60.00,1,train,1,Caught,Competitor offered higher download speeds,Month-to-month,Established,High,Santa Ana,33.748478,-117.858918
4710-FDUIZ,722.16,2,0.3732,Intervene,20.86,269.52,80.86,60.00,1,test,0,Missed,Competitor offered more data,One year,Loyal,High,Santa Ana,33.714829,-117.872941
1218-VKFPE,68.4,10,0.3131,Do not intervene,-53.58,21.42,6.42,60.00,1,train,0,Missed,Competitor made better offer,Month-to-month,New,Low,Anaheim,33.830209,-117.906099
3627-FHKBK,271.08,6,0.8262,Intervene,7.19,223.96,67.19,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,High,Anaheim,33.83796,-117.870494
2865-TCHJW,321.12,5,0.8783,Intervene,24.61,282.03,84.61,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,High,Anaheim,33.848733,-117.788357
5192-EBGOV,308.52,5,0.9056,Intervene,23.82,279.39,83.82,60.00,1,test,1,Caught,Competitor offered higher download speeds,Month-to-month,New,High,Brea,33.924143,-117.79387
0719-SYFRB,221.94,7,0.4998,Do not intervene,-26.72,110.92,33.28,60.00,1,test,0,Missed,Competitor offered higher download speeds,Month-to-month,New,Medium,Norco,33.925833,-117.559639
3419-SNJJD,378.9,4,0.4977,Do not intervene,-3.43,188.57,56.57,60.00,1,train,0,Missed,Competitor offered higher download speeds,Month-to-month,Loyal,High,Yorba Linda,33.884073,-117.732197
6543-CPZMK,107.82,10,0.6888,Do not intervene,-37.72,74.27,22.28,60.00,1,train,1,Caught,Competitor offered more data,Month-to-month,New,Low,Ventura,34.360261,-119.306383
4765-OXPPD,234.0,7,0.4714,Do not intervene,-26.9,110.32,33.1,60.00,1,train,0,Missed,Competitor offered more data,Month-to-month,New,Medium,Ventura,34.279221,-119.221437
1009-IRMNA,72.0,10,0.2828,Do not intervene,-53.89,20.36,6.11,60.00,1,test,0,Missed,Competitor offered more data,Month-to-month,New,Low,Port Hueneme,34.110124,-119.100972
4554-YGZIH,324.18,5,0.5767,Do not intervene,-3.92,186.94,56.08,60.00,1,test,1,Caught,Competitor made better offer,Month-to-month,Loyal,High,Summerland,34.420998,-119.60137
